date,ticker,mode,value,invested
2017-01-26,SPY,baseline,857.91,800.00
2017-01-27,SPY,baseline,856.56,800.00
2017-01-30,SPY,baseline,851.25,800.00
2017-01-31,SPY,baseline,851.17,800.00
2017-02-01,SPY,baseline,951.51,900.00
2017-02-02,SPY,baseline,952.14,900.00
2017-02-03,SPY,baseline,958.70,900.00
2017-02-06,SPY,baseline,956.99,900.00
2017-02-07,SPY,baseline,957.03,900.00
2017-02-08,SPY,baseline,958.28,900.00
2017-02-09,SPY,baseline,963.97,900.00
2017-02-10,SPY,baseline,967.77,900.00
2017-02-13,SPY,baseline,973.04,900.00
2017-02-14,SPY,baseline,976.93,900.00
2017-02-15,SPY,baseline,982.03,900.00
2017-02-16,SPY,baseline,981.19,900.00
2017-02-17,SPY,baseline,982.74,900.00
2017-02-21,SPY,baseline,988.59,900.00
2017-02-22,SPY,baseline,987.71,900.00
2017-02-23,SPY,baseline,988.38,900.00
2017-02-24,SPY,baseline,989.63,900.00
2017-02-27,SPY,baseline,991.18,900.00
2017-02-28,SPY,baseline,988.51,900.00
2017-03-01,SPY,baseline,1102.34,1000.00
2017-03-02,SPY,baseline,1095.40,1000.00
2017-03-03,SPY,baseline,1096.09,1000.00
2017-03-06,SPY,baseline,1092.83,1000.00
2017-03-07,SPY,baseline,1089.56,1000.00
2017-03-08,SPY,baseline,1087.54,1000.00
2017-03-09,SPY,baseline,1088.92,1000.00
2017-03-10,SPY,baseline,1092.73,1000.00
2017-03-13,SPY,baseline,1093.29,1000.00
2017-03-14,SPY,baseline,1089.10,1000.00
2017-03-15,SPY,baseline,1098.53,1000.00
2017-03-16,SPY,baseline,1096.37,1000.00
2017-03-17,SPY,baseline,1094.44,1000.00
2017-03-20,SPY,baseline,1093.24,1000.00
2017-03-21,SPY,baseline,1079.20,1000.00
2017-03-22,SPY,baseline,1081.74,1000.00
2017-03-23,SPY,baseline,1080.59,1000.00
2017-03-24,SPY,baseline,1079.80,1000.00
2017-03-27,SPY,baseline,1078.70,1000.00
2017-03-28,SPY,baseline,1086.54,1000.00
2017-03-29,SPY,baseline,1087.56,1000.00
2017-03-30,SPY,baseline,1091.02,1000.00
2017-03-31,SPY,baseline,1088.48,1000.00
2017-04-03,SPY,baseline,1186.59,1100.00
2017-04-04,SPY,baseline,1187.35,1100.00
2017-04-05,SPY,baseline,1183.82,1100.00
2017-04-06,SPY,baseline,1187.15,1100.00
2017-04-07,SPY,baseline,1185.94,1100.00
2017-04-10,SPY,baseline,1186.64,1100.00
2017-04-11,SPY,baseline,1185.23,1100.00
2017-04-12,SPY,baseline,1180.04,1100.00
2017-04-13,SPY,baseline,1172.37,1100.00
2017-04-17,SPY,baseline,1182.76,1100.00
2017-04-18,SPY,baseline,1179.23,1100.00
2017-04-19,SPY,baseline,1177.06,1100.00
2017-04-20,SPY,baseline,1186.64,1100.00
2017-04-21,SPY,baseline,1182.86,1100.00
2017-04-24,SPY,baseline,1195.87,1100.00
2017-04-25,SPY,baseline,1202.83,1100.00
2017-04-26,SPY,baseline,1202.07,1100.00
2017-04-27,SPY,baseline,1203.08,1100.00
2017-04-28,SPY,baseline,1200.46,1100.00
2017-05-01,SPY,baseline,1303.48,1200.00
2017-05-02,SPY,baseline,1303.97,1200.00
2017-05-03,SPY,baseline,1302.39,1200.00
2017-05-04,SPY,baseline,1303.92,1200.00
2017-05-05,SPY,baseline,1309.05,1200.00
2017-05-08,SPY,baseline,1308.83,1200.00
2017-05-09,SPY,baseline,1307.63,1200.00
2017-05-10,SPY,baseline,1309.98,1200.00
2017-05-11,SPY,baseline,1307.31,1200.00
2017-05-12,SPY,baseline,1305.12,1200.00
2017-05-15,SPY,baseline,1312.33,1200.00
2017-05-16,SPY,baseline,1311.13,1200.00
2017-05-17,SPY,baseline,1287.86,1200.00
2017-05-18,SPY,baseline,1293.05,1200.00
2017-05-19,SPY,baseline,1301.46,1200.00
2017-05-22,SPY,baseline,1308.07,1200.00
2017-05-23,SPY,baseline,1310.96,1200.00
2017-05-24,SPY,baseline,1314.02,1200.00
2017-05-25,SPY,baseline,1320.30,1200.00
2017-05-26,SPY,baseline,1320.03,1200.00
2017-05-30,SPY,baseline,1318.88,1200.00
2017-05-31,SPY,baseline,1318.56,1200.00
2017-06-01,SPY,baseline,1429.04,1300.00
2017-06-02,SPY,baseline,1433.80,1300.00
2017-06-05,SPY,baseline,1432.74,1300.00
2017-06-06,SPY,baseline,1428.16,1300.00
2017-06-07,SPY,baseline,1430.80,1300.00
2017-06-08,SPY,baseline,1431.51,1300.00
2017-06-09,SPY,baseline,1429.33,1300.00
2017-06-12,SPY,baseline,1429.04,1300.00
2017-06-13,SPY,baseline,1436.03,1300.00
2017-06-14,SPY,baseline,1434.21,1300.00
2017-06-15,SPY,baseline,1431.45,1300.00
2017-06-16,SPY,baseline,1431.76,1300.00
2017-06-19,SPY,baseline,1443.68,1300.00
2017-06-20,SPY,baseline,1433.94,1300.00
2017-06-21,SPY,baseline,1433.59,1300.00
2017-06-22,SPY,baseline,1432.94,1300.00
2017-06-23,SPY,baseline,1434.65,1300.00
2017-06-26,SPY,baseline,1435.60,1300.00
2017-06-27,SPY,baseline,1424.03,1300.00
2017-06-28,SPY,baseline,1436.78,1300.00
2017-06-29,SPY,baseline,1424.15,1300.00
2017-06-30,SPY,baseline,1426.80,1300.00
2017-07-03,SPY,baseline,1529.22,1400.00
2017-07-05,SPY,baseline,1532.76,1400.00
2017-07-06,SPY,baseline,1518.74,1400.00
2017-07-07,SPY,baseline,1528.59,1400.00
2017-07-10,SPY,baseline,1530.23,1400.00
2017-07-11,SPY,baseline,1529.10,1400.00
2017-07-12,SPY,baseline,1540.59,1400.00
2017-07-13,SPY,baseline,1543.18,1400.00
2017-07-14,SPY,baseline,1550.37,1400.00
2017-07-17,SPY,baseline,1550.19,1400.00
2017-07-18,SPY,baseline,1551.01,1400.00
2017-07-19,SPY,baseline,1559.40,1400.00
2017-07-20,SPY,baseline,1560.10,1400.00
2017-07-21,SPY,baseline,1558.71,1400.00
2017-07-24,SPY,baseline,1558.33,1400.00
2017-07-25,SPY,baseline,1562.12,1400.00
2017-07-26,SPY,baseline,1562.18,1400.00
2017-07-27,SPY,baseline,1560.73,1400.00
2017-07-28,SPY,baseline,1558.90,1400.00
2017-07-31,SPY,baseline,1558.01,1400.00
2017-08-01,SPY,baseline,1661.49,1500.00
2017-08-02,SPY,baseline,1662.29,1500.00
2017-08-03,SPY,baseline,1659.07,1500.00
2017-08-04,SPY,baseline,1662.09,1500.00
2017-08-07,SPY,baseline,1665.18,1500.00
2017-08-08,SPY,baseline,1661.08,1500.00
2017-08-09,SPY,baseline,1661.02,1500.00
2017-08-10,SPY,baseline,1637.57,1500.00
2017-08-11,SPY,baseline,1639.99,1500.00
2017-08-14,SPY,baseline,1656.25,1500.00
2017-08-15,SPY,baseline,1656.04,1500.00
2017-08-16,SPY,baseline,1658.93,1500.00
2017-08-17,SPY,baseline,1633.07,1500.00
2017-08-18,SPY,baseline,1630.52,1500.00
2017-08-21,SPY,baseline,1631.79,1500.00
2017-08-22,SPY,baseline,1648.86,1500.00
2017-08-23,SPY,baseline,1642.94,1500.00
2017-08-24,SPY,baseline,1639.12,1500.00
2017-08-25,SPY,baseline,1642.94,1500.00
2017-08-28,SPY,baseline,1643.01,1500.00
2017-08-29,SPY,baseline,1644.89,1500.00
2017-08-30,SPY,baseline,1652.69,1500.00
2017-08-31,SPY,baseline,1662.63,1500.00
2017-09-01,SPY,baseline,1764.98,1600.00
2017-09-05,SPY,baseline,1752.30,1600.00
2017-09-06,SPY,baseline,1758.29,1600.00
2017-09-07,SPY,baseline,1758.07,1600.00
2017-09-08,SPY,baseline,1756.01,1600.00
2017-09-11,SPY,baseline,1774.74,1600.00
2017-09-12,SPY,baseline,1780.72,1600.00
2017-09-13,SPY,baseline,1781.57,1600.00
2017-09-14,SPY,baseline,1781.00,1600.00
2017-09-15,SPY,baseline,1783.40,1600.00
2017-09-18,SPY,baseline,1787.19,1600.00
2017-09-19,SPY,baseline,1788.98,1600.00
2017-09-20,SPY,baseline,1789.63,1600.00
2017-09-21,SPY,baseline,1784.83,1600.00
2017-09-22,SPY,baseline,1785.19,1600.00
2017-09-25,SPY,baseline,1781.54,1600.00
2017-09-26,SPY,baseline,1782.61,1600.00
2017-09-27,SPY,baseline,1789.56,1600.00
2017-09-28,SPY,baseline,1791.70,1600.00
2017-09-29,SPY,baseline,1798.00,1600.00
2017-10-02,SPY,baseline,1905.80,1700.00
2017-10-03,SPY,baseline,1909.88,1700.00
2017-10-04,SPY,baseline,1912.15,1700.00
2017-10-05,SPY,baseline,1923.48,1700.00
2017-10-06,SPY,baseline,1921.29,1700.00
2017-10-09,SPY,baseline,1918.11,1700.00
2017-10-10,SPY,baseline,1923.17,1700.00
2017-10-11,SPY,baseline,1926.19,1700.00
2017-10-12,SPY,baseline,1923.32,1700.00
2017-10-13,SPY,baseline,1925.67,1700.00
2017-10-16,SPY,baseline,1928.23,1700.00
2017-10-17,SPY,baseline,1929.59,1700.00
2017-10-18,SPY,baseline,1931.48,1700.00
2017-10-19,SPY,baseline,1932.01,1700.00
2017-10-20,SPY,baseline,1941.98,1700.00
2017-10-23,SPY,baseline,1934.43,1700.00
2017-10-24,SPY,baseline,1937.83,1700.00
2017-10-25,SPY,baseline,1928.23,1700.00
2017-10-26,SPY,baseline,1930.73,1700.00
2017-10-27,SPY,baseline,1946.51,1700.00
2017-10-30,SPY,baseline,1939.26,1700.00
2017-10-31,SPY,baseline,1942.28,1700.00
2017-11-01,SPY,baseline,2044.85,1800.00
2017-11-02,SPY,baseline,2045.65,1800.00
2017-11-03,SPY,baseline,2052.47,1800.00
2017-11-06,SPY,baseline,2055.65,1800.00
2017-11-07,SPY,baseline,2054.22,1800.00
2017-11-08,SPY,baseline,2057.72,1800.00
2017-11-09,SPY,baseline,2050.25,1800.00
2017-11-10,SPY,baseline,2049.62,1800.00
2017-11-13,SPY,baseline,2051.52,1800.00
2017-11-14,SPY,baseline,2046.76,1800.00
2017-11-15,SPY,baseline,2036.51,1800.00
2017-11-16,SPY,baseline,2053.83,1800.00
2017-11-17,SPY,baseline,2047.79,1800.00
2017-11-20,SPY,baseline,2051.28,1800.00
2017-11-21,SPY,baseline,2064.70,1800.00
2017-11-22,SPY,baseline,2062.88,1800.00
2017-11-24,SPY,baseline,2067.64,1800.00
2017-11-27,SPY,baseline,2066.61,1800.00
2017-11-28,SPY,baseline,2087.58,1800.00
2017-11-29,SPY,baseline,2086.31,1800.00
2017-11-30,SPY,baseline,2104.57,1800.00
2017-12-01,SPY,baseline,2200.20,1900.00
2017-12-04,SPY,baseline,2197.54,1900.00
2017-12-05,SPY,baseline,2189.64,1900.00
2017-12-06,SPY,baseline,2190.05,1900.00
2017-12-07,SPY,baseline,2196.96,1900.00
2017-12-08,SPY,baseline,2208.94,1900.00
2017-12-11,SPY,baseline,2215.59,1900.00
2017-12-12,SPY,baseline,2219.50,1900.00
2017-12-13,SPY,baseline,2219.25,1900.00
2017-12-14,SPY,baseline,2210.19,1900.00
2017-12-15,SPY,baseline,2228.59,1900.00
2017-12-18,SPY,baseline,2242.72,1900.00
2017-12-19,SPY,baseline,2234.11,1900.00
2017-12-20,SPY,baseline,2232.94,1900.00
2017-12-21,SPY,baseline,2237.54,1900.00
2017-12-22,SPY,baseline,2236.95,1900.00
2017-12-26,SPY,baseline,2234.28,1900.00
2017-12-27,SPY,baseline,2235.36,1900.00
2017-12-28,SPY,baseline,2239.96,1900.00
2017-12-29,SPY,baseline,2231.52,1900.00
2018-01-02,SPY,baseline,2347.49,2000.00
2018-01-03,SPY,baseline,2362.34,2000.00
2018-01-04,SPY,baseline,2372.29,2000.00
2018-01-05,SPY,baseline,2388.10,2000.00
2018-01-08,SPY,baseline,2392.47,2000.00
2018-01-09,SPY,baseline,2397.89,2000.00
2018-01-10,SPY,baseline,2394.22,2000.00
2018-01-11,SPY,baseline,2411.69,2000.00
2018-01-12,SPY,baseline,2427.41,2000.00
2018-01-16,SPY,baseline,2419.11,2000.00
2018-01-17,SPY,baseline,2442.17,2000.00
2018-01-18,SPY,baseline,2438.06,2000.00
2018-01-19,SPY,baseline,2449.16,2000.00
2018-01-22,SPY,baseline,2469.07,2000.00
2018-01-23,SPY,baseline,2474.31,2000.00
2018-01-24,SPY,baseline,2473.35,2000.00
2018-01-25,SPY,baseline,2474.40,2000.00
2018-01-26,SPY,baseline,2503.05,2000.00
2018-01-29,SPY,baseline,2486.45,2000.00
2018-01-30,SPY,baseline,2460.95,2000.00
2018-01-31,SPY,baseline,2462.17,2000.00
2018-02-01,SPY,baseline,2559.37,2100.00
2018-02-02,SPY,baseline,2503.66,2100.00
2018-02-05,SPY,baseline,2398.95,2100.00
2018-02-06,SPY,baseline,2446.21,2100.00
2018-02-07,SPY,baseline,2432.94,2100.00
2018-02-08,SPY,baseline,2341.69,2100.00
2018-02-09,SPY,baseline,2376.86,2100.00
2018-02-12,SPY,baseline,2411.76,2100.00
2018-02-13,SPY,baseline,2417.76,2100.00
2018-02-14,SPY,baseline,2450.39,2100.00
2018-02-15,SPY,baseline,2481.66,2100.00
2018-02-16,SPY,baseline,2482.39,2100.00
2018-02-20,SPY,baseline,2466.85,2100.00
2018-02-21,SPY,baseline,2454.57,2100.00
2018-02-22,SPY,baseline,2457.76,2100.00
2018-02-23,SPY,baseline,2496.93,2100.00
2018-02-26,SPY,baseline,2525.93,2100.00
2018-02-27,SPY,baseline,2494.39,2100.00
2018-02-28,SPY,baseline,2469.12,2100.00
2018-03-01,SPY,baseline,2533.22,2200.00
2018-03-02,SPY,baseline,2546.27,2200.00
2018-03-05,SPY,baseline,2575.70,2200.00
2018-03-06,SPY,baseline,2582.23,2200.00
2018-03-07,SPY,baseline,2581.29,2200.00
2018-03-08,SPY,baseline,2593.78,2200.00
2018-03-09,SPY,baseline,2638.91,2200.00
2018-03-12,SPY,baseline,2635.60,2200.00
2018-03-13,SPY,baseline,2618.57,2200.00
2018-03-14,SPY,baseline,2605.13,2200.00
2018-03-15,SPY,baseline,2602.29,2200.00
2018-03-16,SPY,baseline,2605.12,2200.00
2018-03-19,SPY,baseline,2569.87,2200.00
2018-03-20,SPY,baseline,2574.24,2200.00
2018-03-21,SPY,baseline,2569.30,2200.00
2018-03-22,SPY,baseline,2505.07,2200.00
2018-03-23,SPY,baseline,2451.68,2200.00
2018-03-26,SPY,baseline,2518.75,2200.00
2018-03-27,SPY,baseline,2475.91,2200.00
2018-03-28,SPY,baseline,2468.59,2200.00
2018-03-29,SPY,baseline,2500.13,2200.00
2018-04-02,SPY,baseline,2546.17,2300.00
2018-04-03,SPY,baseline,2578.80,2300.00
2018-04-04,SPY,baseline,2606.39,2300.00
2018-04-05,SPY,baseline,2626.96,2300.00
2018-04-06,SPY,baseline,2568.42,2300.00
2018-04-09,SPY,baseline,2581.08,2300.00
2018-04-10,SPY,baseline,2622.12,2300.00
2018-04-11,SPY,baseline,2608.37,2300.00
2018-04-12,SPY,baseline,2629.83,2300.00
2018-04-13,SPY,baseline,2622.12,2300.00
2018-04-16,SPY,baseline,2643.68,2300.00
2018-04-17,SPY,baseline,2671.96,2300.00
2018-04-18,SPY,baseline,2673.94,2300.00
2018-04-19,SPY,baseline,2659.10,2300.00
2018-04-20,SPY,baseline,2636.55,2300.00
2018-04-23,SPY,baseline,2636.16,2300.00
2018-04-24,SPY,baseline,2600.66,2300.00
2018-04-25,SPY,baseline,2607.09,2300.00
2018-04-26,SPY,baseline,2633.59,2300.00
2018-04-27,SPY,baseline,2636.06,2300.00
2018-04-30,SPY,baseline,2615.79,2300.00
2018-05-01,SPY,baseline,2720.44,2400.00
2018-05-02,SPY,baseline,2702.16,2400.00
2018-05-03,SPY,baseline,2696.21,2400.00
2018-05-04,SPY,baseline,2731.11,2400.00
2018-05-07,SPY,baseline,2740.35,2400.00
2018-05-08,SPY,baseline,2740.35,2400.00
2018-05-09,SPY,baseline,2766.84,2400.00
2018-05-10,SPY,baseline,2792.71,2400.00
2018-05-11,SPY,baseline,2801.23,2400.00
2018-05-14,SPY,baseline,2802.57,2400.00
2018-05-15,SPY,baseline,2783.27,2400.00
2018-05-16,SPY,baseline,2794.97,2400.00
2018-05-17,SPY,baseline,2792.61,2400.00
2018-05-18,SPY,baseline,2785.63,2400.00
2018-05-21,SPY,baseline,2806.57,2400.00
2018-05-22,SPY,baseline,2798.77,2400.00
2018-05-23,SPY,baseline,2806.47,2400.00
2018-05-24,SPY,baseline,2800.72,2400.00
2018-05-25,SPY,baseline,2794.05,2400.00
2018-05-29,SPY,baseline,2761.91,2400.00
2018-05-30,SPY,baseline,2798.77,2400.00
2018-05-31,SPY,baseline,2781.62,2400.00
2018-06-01,SPY,baseline,2908.93,2500.00
2018-06-04,SPY,baseline,2922.75,2500.00
2018-06-05,SPY,baseline,2924.88,2500.00
2018-06-06,SPY,baseline,2949.34,2500.00
2018-06-07,SPY,baseline,2949.02,2500.00
2018-06-08,SPY,baseline,2957.74,2500.00
2018-06-11,SPY,baseline,2961.67,2500.00
2018-06-12,SPY,baseline,2965.50,2500.00
2018-06-13,SPY,baseline,2956.03,2500.00
2018-06-14,SPY,baseline,2963.48,2500.00
2018-06-15,SPY,baseline,2959.70,2500.00
2018-06-18,SPY,baseline,2953.61,2500.00
2018-06-19,SPY,baseline,2942.29,2500.00
2018-06-20,SPY,baseline,2947.31,2500.00
2018-06-21,SPY,baseline,2928.83,2500.00
2018-06-22,SPY,baseline,2934.17,2500.00
2018-06-25,SPY,baseline,2894.23,2500.00
2018-06-26,SPY,baseline,2900.64,2500.00
2018-06-27,SPY,baseline,2876.61,2500.00
2018-06-28,SPY,baseline,2893.05,2500.00
2018-06-29,SPY,baseline,2897.22,2500.00
2018-07-02,SPY,baseline,3003.41,2600.00
2018-07-03,SPY,baseline,2992.81,2600.00
2018-07-05,SPY,baseline,3017.22,2600.00
2018-07-06,SPY,baseline,3042.74,2600.00
2018-07-09,SPY,baseline,3070.14,2600.00
2018-07-10,SPY,baseline,3081.19,2600.00
2018-07-11,SPY,baseline,3058.65,2600.00
2018-07-12,SPY,baseline,3086.38,2600.00
2018-07-13,SPY,baseline,3088.81,2600.00
2018-07-16,SPY,baseline,3086.05,2600.00
2018-07-17,SPY,baseline,3098.53,2600.00
2018-07-18,SPY,baseline,3105.05,2600.00
2018-07-19,SPY,baseline,3093.34,2600.00
2018-07-20,SPY,baseline,3089.81,2600.00
2018-07-23,SPY,baseline,3095.55,2600.00
2018-07-24,SPY,baseline,3111.13,2600.00
2018-07-25,SPY,baseline,3137.64,2600.00
2018-07-26,SPY,baseline,3130.24,2600.00
2018-07-27,SPY,baseline,3109.03,2600.00
2018-07-30,SPY,baseline,3092.79,2600.00
2018-07-31,SPY,baseline,3108.03,2600.00
2018-08-01,SPY,baseline,3202.84,2700.00
2018-08-02,SPY,baseline,3220.29,2700.00
2018-08-03,SPY,baseline,3234.09,2700.00
2018-08-06,SPY,baseline,3245.95,2700.00
2018-08-07,SPY,baseline,3256.67,2700.00
2018-08-08,SPY,baseline,3255.30,2700.00
2018-08-09,SPY,baseline,3250.85,2700.00
2018-08-10,SPY,baseline,3229.07,2700.00
2018-08-13,SPY,baseline,3216.98,2700.00
2018-08-14,SPY,baseline,3237.51,2700.00
2018-08-15,SPY,baseline,3213.33,2700.00
2018-08-16,SPY,baseline,3239.33,2700.00
2018-08-17,SPY,baseline,3250.74,2700.00
2018-08-20,SPY,baseline,3257.69,2700.00
2018-08-21,SPY,baseline,3265.33,2700.00
2018-08-22,SPY,baseline,3263.40,2700.00
2018-08-23,SPY,baseline,3259.06,2700.00
2018-08-24,SPY,baseline,3278.68,2700.00
2018-08-27,SPY,baseline,3304.56,2700.00
2018-08-28,SPY,baseline,3306.16,2700.00
2018-08-29,SPY,baseline,3323.95,2700.00
2018-08-30,SPY,baseline,3310.49,2700.00
2018-08-31,SPY,baseline,3310.61,2700.00
2018-09-04,SPY,baseline,3404.90,2800.00
2018-09-05,SPY,baseline,3395.74,2800.00
2018-09-06,SPY,baseline,3385.52,2800.00
2018-09-07,SPY,baseline,3378.94,2800.00
