rank,strategy,symbol,timeframe,sharpe,sortino,cagr,max_drawdown,win_rate,profit_factor,total_return,trade_count,exposure,avg_trade,best_trade,worst_trade,n_bars,gate1_pass,halted,is_optimized,score
72,donchian_bo,SOXL,1d,-0.8773,-0.3322,-0.0568,0.2227,0.4217,0.5682,-0.2074,83,0.2183,-0.0107,0.1545,-0.1997,1003,False,True,False,0.0
73,donchian_bo,COST,1d,-0.2006,-0.0922,-0.0015,0.0411,0.3277,0.7379,-0.0151,177,0.1905,-0.0015,0.0444,-0.0789,2515,False,False,False,0.0
74,donchian_bo,AMD,1d,-0.5957,-0.2058,-0.0471,0.2004,0.5128,0.9792,-0.1226,39,0.1401,-0.0005,0.1976,-0.1366,685,False,True,False,0.0
75,stoch_rsi,MU,1d,-0.3632,-0.1329,-0.0261,0.2006,0.3922,0.7317,-0.1748,51,0.1571,-0.0074,0.0947,-0.1208,1833,False,True,False,0.0
76,cci_trend,ORCL,1d,-0.3636,-0.1767,-0.0301,0.2019,0.2609,0.5305,-0.1253,23,0.2421,-0.0083,0.0875,-0.0458,1103,False,True,False,0.0
77,bb_reversion,AMD,1d,-0.6047,-0.1465,-0.0752,0.2118,0.5833,0.5353,-0.138,12,0.0875,-0.0114,0.0773,-0.1295,480,False,True,False,0.0
78,stoch_rsi,AMD,1d,-0.5425,-0.2255,-0.0622,0.2127,0.375,0.4498,-0.1885,24,0.1961,-0.02,0.1038,-0.3511,821,False,True,False,0.0
79,bb_reversion,LLY,1d,-0.194,-0.0511,-0.0154,0.1928,0.4688,0.7229,-0.1431,64,0.0748,-0.0024,0.0527,-0.0624,2515,False,False,False,0.0
80,squeeze_momentum,AMD,1d,-0.4053,-0.1082,-0.0354,0.2014,0.25,0.3794,-0.089,4,0.0675,-0.0476,0.1164,-0.1691,652,False,True,False,0.0
81,rsi_reversion,NFLX,1d,-0.2992,-0.0523,-0.0058,0.096,0.4444,0.2818,-0.0561,18,0.037,-0.0181,0.0345,-0.2213,2515,False,False,False,0.0
82,bb_reversion,NFLX,1d,-0.1608,-0.044,-0.0218,0.2086,0.5455,0.6879,-0.1256,33,0.0638,-0.0039,0.0773,-0.1208,1537,False,True,False,0.0
83,williams_r,NFLX,1d,0.0387,0.0162,-0.0057,0.2514,0.6471,1.0489,-0.0217,17,0.1994,0.001,0.0685,-0.1539,968,False,True,False,0.0
84,stoch_rsi,JPM,1d,-0.067,-0.0293,-0.003,0.1482,0.5402,0.9846,-0.03,87,0.2031,-0.0002,0.0684,-0.0992,2516,False,False,False,0.0
85,donchian_bo,ORCL,1d,-0.2065,-0.0769,-0.0074,0.0968,0.4069,0.766,-0.0712,145,0.1479,-0.0018,0.0973,-0.1224,2516,False,False,False,0.0
86,bb_reversion,JPM,1d,-0.1784,-0.0418,-0.0314,0.2002,0.4828,0.658,-0.1154,29,0.0814,-0.0035,0.0318,-0.1151,970,False,True,False,0.0
87,donchian_bo,JPM,1d,-0.6114,-0.2006,-0.0081,0.0929,0.3467,0.6478,-0.0778,150,0.1583,-0.0025,0.105,-0.0444,2515,False,False,False,0.0
88,rsi_reversion,JPM,1d,-0.0528,-0.0072,-0.0006,0.0294,0.6111,0.6956,-0.0055,18,0.0215,-0.0055,0.083,-0.2006,2515,False,False,False,0.0
89,bb_reversion,ORCL,1d,-0.3556,-0.0882,-0.0332,0.2134,0.4706,0.3982,-0.1755,34,0.0722,-0.0056,0.0274,-0.0465,1441,False,True,False,0.0
90,ema_crossover,SOXL,1d,-2.7829,-1.4607,-0.8381,0.2499,0.0,0.0,-0.2178,1,0.3714,-0.2353,-0.2353,-0.2353,35,False,True,False,0.0
