rank,strategy,symbol,timeframe,sharpe,sortino,cagr,max_drawdown,win_rate,profit_factor,total_return,trade_count,exposure,avg_trade,best_trade,worst_trade,n_bars,gate1_pass,halted,is_optimized,score
167,donchian_bo,AMZN,1d,-1.4016,-0.4502,-0.0164,0.0838,0.3,0.3482,-0.0791,70,0.1322,-0.0067,0.0414,-0.0692,1256,False,False,False,0.0
168,triple_screen,AMZN,1d,0.0164,0.0108,-0.002,0.1886,0.5941,1.0409,-0.01,101,0.3981,0.0006,0.1616,-0.1102,1256,False,False,False,0.0
169,zscore_reversion,AMZN,1d,0.0228,0.0154,-0.0008,0.1364,0.7018,0.9824,-0.0042,57,0.4618,-0.0003,0.1027,-0.2158,1256,False,False,False,0.0
170,macd_momentum,AVGO,1d,-0.2014,-0.1462,-0.0185,0.1472,0.3333,1.3282,-0.0888,60,0.5175,0.0083,0.389,-0.1123,1256,False,False,False,0.0
171,momentum_long,ASML,1d,-0.1937,-0.1154,-0.0629,0.204,0.0,0.0,-0.0508,1,0.3498,-0.0539,-0.0539,-0.0539,203,False,True,False,0.0
172,momentum_long,NOW,1d,-0.7685,-0.354,-0.1967,0.2483,0.0,0.0,-0.1574,1,0.3333,-0.165,-0.165,-0.165,198,False,True,False,0.0
173,bb_reversion,ASML,1d,-0.8989,-0.2784,-0.1342,0.2059,0.5333,0.3791,-0.1976,15,0.1062,-0.0143,0.0428,-0.099,386,False,True,False,0.0
174,vwap_reversion,ASML,1d,-0.5135,-0.3466,-0.0687,0.2269,0.4419,0.5263,-0.2105,43,0.4726,-0.011,0.0845,-0.1522,838,False,True,False,0.0
175,ema_crossover,NOW,1d,-0.4322,-0.2825,-0.0127,0.1156,0.2333,0.619,-0.0619,30,0.5422,-0.0218,0.2879,-0.1799,1256,False,False,False,0.0
176,macd_momentum,NOW,1d,-0.2198,-0.1533,-0.0095,0.1188,0.3333,0.6993,-0.0462,54,0.5064,-0.011,0.2535,-0.1708,1256,False,False,False,0.0
177,donchian_bo,NOW,1d,-0.3963,-0.1267,-0.0057,0.0391,0.459,0.609,-0.0282,61,0.129,-0.0037,0.0442,-0.1179,1256,False,False,False,0.0
178,triple_screen,NOW,1d,-1.3471,-0.6666,-0.1085,0.2041,0.4333,0.4419,-0.1788,30,0.3118,-0.0131,0.0533,-0.1008,433,False,True,False,0.0
