rank,strategy,symbol,timeframe,sharpe,sortino,cagr,max_drawdown,win_rate,profit_factor,total_return,trade_count,exposure,avg_trade,best_trade,worst_trade,n_bars,gate1_pass,halted,is_optimized,score
79,rsi_reversion,AAPL,1d,0.3468,0.0882,0.0039,0.0138,0.9167,10.89,0.0194,12,0.0326,0.0141,0.0638,-0.017,1256,False,False,False,0.4393
80,rsi_reversion,AMZN,1d,0.4158,0.1119,0.0042,0.0167,0.6154,3.5132,0.0211,13,0.0438,0.0171,0.14,-0.0376,1256,False,False,False,0.4371
81,donchian_bo,BTC/USDT,1d,0.4094,0.3383,0.0099,0.0123,0.4545,1.389,0.0288,22,0.0753,0.0035,0.0911,-0.0435,730,False,False,True,0.4364
82,alpha_composite,NVO,1d,0.3289,0.3042,0.0314,0.1832,0.4476,1.0642,0.1666,143,0.6982,0.0008,0.2764,-0.0988,1256,False,False,False,0.4339
83,donchian_bo,AVGO,1d,0.3708,0.2312,0.0168,0.0573,0.4306,1.3159,0.0865,72,0.1521,0.0036,0.1964,-0.0642,1256,False,False,False,0.4303
84,bb_reversion,GOOG,1d,0.3063,0.0942,0.0197,0.1238,0.7059,1.5673,0.1018,34,0.0788,0.0032,0.0411,-0.0544,1256,False,False,False,0.4274
85,momentum_long,GOOG,1d,0.3266,0.249,0.0266,0.1894,0.4444,2.7574,0.1396,9,0.6309,0.0772,0.5997,-0.1161,1257,False,False,False,0.417
86,donchian_bo,AAPL,1d,0.397,0.2349,0.0041,0.0149,0.4795,1.1479,0.0207,73,0.1553,0.0007,0.0427,-0.0353,1256,False,False,False,0.4161
87,macd_momentum,ETH/USDT,1d,0.3349,0.3197,0.0215,0.0956,0.3548,1.347,0.0635,31,0.5157,0.0143,0.5776,-0.1326,731,False,False,True,0.4148
88,atr_breakout,NVDA,1d,0.3007,0.2396,0.0338,0.2011,0.3,1.2479,0.0477,20,0.5508,0.0083,0.4153,-0.1056,354,False,True,True,0.4115
89,vwap_reversion,QQQ,1d,0.2959,0.1868,0.013,0.0674,0.6308,1.2618,0.0665,65,0.389,0.0024,0.0711,-0.1063,1257,False,False,True,0.407
90,atr_breakout,BTC/USDT,4h,0.3773,0.3165,0.0167,0.0962,0.25,1.4548,0.1007,60,0.5589,0.0047,0.3783,-0.047,1460,False,True,True,0.4068
91,atr_breakout,AAPL,1d,0.3366,0.2605,0.0218,0.1471,0.3548,1.2768,0.1135,62,0.6158,0.0049,0.2244,-0.1266,1257,False,False,False,0.4061
92,zscore_reversion,MA,1d,0.2844,0.1949,0.0125,0.0501,0.6429,1.5107,0.0637,56,0.4829,0.0041,0.1021,-0.1126,1257,False,False,False,0.4055
93,donchian_bo,TSLA,1d,0.3217,0.129,0.0195,0.1329,0.4038,1.4649,0.1011,52,0.1186,0.0081,0.2027,-0.0913,1256,False,False,False,0.401
94,rsi_reversion,ASML,1d,0.3409,0.0784,0.0027,0.0077,0.5556,2.6151,0.0133,9,0.0263,0.0151,0.0855,-0.0319,1256,False,False,False,0.3985
95,vwap_reversion,GOOG,1d,0.2597,0.1748,0.0148,0.123,0.7302,1.1198,0.0756,63,0.422,0.0015,0.0602,-0.159,1256,False,False,False,0.3967
96,zscore_reversion,V,1d,0.2544,0.1782,0.0143,0.1074,0.6964,1.7146,0.0731,56,0.4869,0.006,0.0629,-0.1094,1257,False,False,False,0.3928
97,bb_reversion,MA,1d,0.2523,0.089,0.0154,0.0958,0.641,1.3215,0.0793,39,0.1011,0.0024,0.0577,-0.0641,1256,False,False,False,0.3921
98,rsi_reversion,PLTR,1d,0.2637,0.0678,0.0048,0.0234,0.75,2.0646,0.0241,12,0.0358,0.0147,0.0775,-0.11,1256,False,False,False,0.3902
99,bb_reversion,NVO,1d,0.2665,0.0673,0.0181,0.1494,0.5714,1.4681,0.0936,28,0.0589,0.0036,0.0535,-0.0687,1256,False,False,False,0.3882
100,ema_crossover,AAPL,1d,0.3495,0.2688,0.0064,0.0393,0.36,1.4308,0.0322,25,0.5884,0.0126,0.3009,-0.0824,1256,False,False,False,0.3871
101,macd_momentum,CRWD,1d,0.284,0.2091,0.0202,0.1806,0.4375,1.0076,0.1047,48,0.5191,0.0003,0.3403,-0.1942,1256,False,False,False,0.3818
102,ema_crossover,NVO,1d,0.3349,0.263,0.0112,0.0793,0.2903,0.9668,0.057,31,0.5971,-0.0014,0.3489,-0.197,1256,False,False,False,0.3807
103,triple_screen,SPY,1d,0.2479,0.1528,0.0092,0.0594,0.6381,1.2035,0.0465,105,0.4068,0.001,0.0341,-0.0731,1256,False,False,True,0.3787
104,alpha_composite,AVGO,1d,0.2247,0.2044,0.022,0.2003,0.5287,1.4571,0.077,87,0.7503,0.0057,0.3137,-0.1294,861,False,True,False,0.3687
105,alpha_composite,AAPL,1d,0.2487,0.2126,0.0142,0.1164,0.4958,1.3605,0.0729,119,0.6863,0.0042,0.3243,-0.1169,1256,False,False,False,0.3684
106,zscore_reversion,NVO,1d,0.2249,0.1511,0.0157,0.2004,0.7119,1.4282,0.0803,59,0.462,0.0069,0.18,-0.2446,1249,False,True,False,0.3682
107,zscore_reversion,AAPL,1d,0.2069,0.141,0.0103,0.0827,0.6875,1.3387,0.0525,48,0.4566,0.004,0.0974,-0.1308,1257,False,False,False,0.3659
108,bb_reversion,V,1d,0.2144,0.0639,0.0121,0.1059,0.6176,1.285,0.0618,34,0.0836,0.0022,0.0827,-0.0512,1256,False,False,False,0.3626
109,rsi_reversion,CRWD,1d,0.2025,0.0383,0.0033,0.038,0.7333,1.8242,0.0165,15,0.0454,0.0127,0.1036,-0.1528,1256,False,False,False,0.3566
110,ema_crossover,ASML,1d,0.2571,0.1944,0.0079,0.0619,0.4231,1.4386,0.04,26,0.578,0.0152,0.3008,-0.1408,1256,False,False,False,0.3565
111,rsi_reversion,V,1d,0.2146,0.0373,0.001,0.0062,0.6,3.0148,0.0052,5,0.0159,0.0111,0.07,-0.0177,1256,False,False,False,0.3476
112,ema_crossover,AMZN,1d,0.2786,0.22,0.0065,0.0528,0.2609,1.4749,0.0328,23,0.5764,0.0158,0.3513,-0.1528,1256,False,False,False,0.3465
113,zscore_reversion,QQQ,1d,0.1676,0.1175,0.0078,0.107,0.725,1.0792,0.0397,80,0.529,0.0007,0.0472,-0.1355,1257,False,False,True,0.3415
114,vwap_reversion,AAPL,1d,0.1612,0.1307,0.0088,0.1019,0.6271,1.1798,0.0447,59,0.4467,0.002,0.0974,-0.0703,1256,False,False,False,0.3332
115,donchian_bo,ETH/USDT,4h,0.2308,0.169,0.0038,0.042,0.3782,0.9213,0.0688,156,0.0872,-0.0005,0.1564,-0.0466,4381,False,False,False,0.3331
116,bb_reversion,MSFT,1d,0.1803,0.0656,0.0114,0.1634,0.5714,1.259,0.0579,42,0.0892,0.0019,0.0856,-0.075,1256,False,False,False,0.3308
117,triple_screen,ASML,1d,0.171,0.0985,0.0121,0.1592,0.5357,1.1027,0.0615,84,0.3392,0.0018,0.1328,-0.1404,1256,False,False,False,0.3264
118,zscore_reversion,NOW,1d,0.1499,0.1017,0.0104,0.222,0.7547,1.4103,0.0509,53,0.4922,0.0076,0.1219,-0.2486,1211,False,True,False,0.3222
119,rsi_reversion,TSLA,1d,0.1425,0.0328,0.0024,0.0292,0.6111,1.2768,0.0118,18,0.0717,0.0074,0.1327,-0.2298,1256,False,False,False,0.3195
120,momentum_long,AMZN,1d,0.2052,0.151,0.0125,0.1432,0.25,1.6213,0.0639,12,0.574,0.0224,0.5911,-0.1162,1256,False,False,False,0.3159
121,vwap_reversion,MSFT,1d,0.1396,0.0923,0.0068,0.1303,0.6301,1.4565,0.0346,73,0.4694,0.0043,0.091,-0.1128,1257,False,False,False,0.3132
122,rsi_reversion,BTC/USDT,4h,0.1208,0.0226,0.0007,0.017,0.6562,1.4808,0.0116,32,0.0208,0.0021,0.0429,-0.0673,4380,False,False,True,0.3126
123,vwap_reversion,BTC/USDT,4h,0.1249,0.0927,0.0043,0.0364,0.5556,1.3875,0.0068,18,0.4672,0.0021,0.0416,-0.0463,396,False,True,True,0.3111
124,zscore_reversion,META,1d,0.1273,0.0806,0.0075,0.1415,0.6552,1.2422,0.038,58,0.4375,0.0046,0.2129,-0.3354,1257,False,False,False,0.3106
125,triple_screen,MSFT,1d,0.1305,0.0807,0.0061,0.111,0.5747,1.1056,0.0307,87,0.3296,0.0011,0.0656,-0.0749,1256,False,False,False,0.3058
126,zscore_reversion,ASML,1d,0.1299,0.0878,0.0084,0.1972,0.6491,1.2112,0.0428,57,0.4741,0.0032,0.0988,-0.1406,1257,False,False,False,0.3026
127,macd_momentum,ASML,1d,0.1572,0.108,0.0071,0.1059,0.3864,1.4512,0.0359,44,0.5127,0.0139,0.3572,-0.1268,1256,False,False,False,0.3016
128,zscore_reversion,BTC/USDT,1d,0.0935,0.0731,0.0043,0.1357,0.7812,1.1054,0.0125,32,0.5349,0.0019,0.0787,-0.224,731,False,False,True,0.3013
129,zscore_reversion,BTC/USDT,4h,0.0867,0.0656,0.0029,0.0513,0.68,1.1385,0.0046,25,0.5848,0.0009,0.0416,-0.0871,395,False,True,True,0.3011
130,vwap_reversion,NVO,1d,0.1115,0.0689,0.0055,0.2023,0.7222,1.3952,0.0222,54,0.4324,0.0056,0.18,-0.1967,1006,False,True,False,0.2929
131,triple_screen,AVGO,1d,0.1354,0.1022,0.0085,0.2041,0.5341,1.0152,0.0311,88,0.4901,0.0002,0.1093,-0.1078,912,False,True,False,0.2922
132,alpha_composite,ASML,1d,0.1367,0.1126,0.0093,0.18,0.4231,1.1116,0.0471,104,0.7255,0.0023,0.4004,-0.1688,1257,False,False,False,0.2889
133,macd_momentum,SPY,1d,0.1299,0.0958,0.0024,0.0331,0.3621,0.9651,0.012,58,0.5314,-0.0004,0.0941,-0.0853,1257,False,False,True,0.2888
134,macd_momentum,BTC/USDT,4h,0.1505,0.127,0.0047,0.1053,0.3483,0.8889,0.0376,89,0.534,-0.0017,0.1147,-0.0575,1987,False,True,True,0.2881
135,atr_breakout,MSFT,1d,0.1616,0.1211,0.0089,0.1674,0.2754,1.1434,0.0452,69,0.6107,0.0023,0.3292,-0.0757,1256,False,False,False,0.2854
136,vwap_reversion,MA,1d,0.0717,0.0492,0.0024,0.0548,0.5802,1.0784,0.0122,81,0.4694,0.0006,0.0537,-0.1183,1257,False,False,False,0.2829
137,macd_momentum,MSFT,1d,0.1089,0.0752,0.0043,0.0813,0.4118,0.7539,0.0217,51,0.5167,-0.0061,0.1782,-0.0939,1256,False,False,False,0.2814
138,atr_breakout,AMZN,1d,0.1282,0.1021,0.0076,0.1287,0.3,1.0979,0.0386,80,0.6118,0.0017,0.2623,-0.1217,1257,False,False,False,0.2783
139,triple_screen,BTC/USDT,4h,0.091,0.0681,0.0029,0.1241,0.5439,0.9868,0.0167,114,0.3445,-0.0001,0.0685,-0.0458,1460,False,True,True,0.2747
140,triple_screen,QQQ,1d,0.0635,0.0332,0.0018,0.0897,0.6067,1.025,0.0092,89,0.2866,0.0002,0.044,-0.0505,1256,False,False,True,0.2735
141,bb_reversion,AMZN,1d,0.0937,0.0293,0.0045,0.1454,0.5,1.1505,0.0225,28,0.074,0.0022,0.1061,-0.1154,1256,False,False,False,0.2719
142,alpha_composite,AMZN,1d,0.1003,0.0879,0.005,0.1663,0.496,0.9628,0.0249,125,0.7038,-0.0006,0.2639,-0.2054,1256,False,False,False,0.2715
143,donchian_bo,ASML,1d,0.0688,0.038,0.0017,0.0917,0.4342,0.797,0.0085,76,0.1576,-0.0029,0.1291,-0.1826,1256,False,False,False,0.2577
144,vwap_reversion,AMZN,1d,0.0463,0.0324,0.0006,0.1482,0.6349,0.8788,0.0032,63,0.4697,-0.0022,0.1204,-0.2604,1256,False,False,False,0.2542
145,atr_breakout,ASML,1d,0.0973,0.0733,0.0046,0.2016,0.3818,1.0642,0.0174,55,0.5812,0.0016,0.2668,-0.1408,948,False,True,False,0.2506
146,momentum_long,V,1d,0.101,0.0732,0.0038,0.0961,0.1538,1.2079,0.0192,13,0.6361,0.0066,0.2813,-0.0753,1256,False,False,False,0.248
147,momentum_long,MA,1d,0.0754,0.0583,0.0027,0.136,0.1111,1.1961,0.0136,9,0.6967,0.0119,0.6531,-0.2025,1256,False,False,False,0.2222
148,rsi_reversion,ETH/USDT,4h,-0.225,-0.0633,-0.0026,0.0524,0.589,0.5352,-0.0441,73,0.0772,-0.0061,0.0529,-0.1825,4380,False,False,False,0.0
149,donchian_bo,SPY,1d,-1.2475,-0.5905,-0.005,0.0257,0.3697,0.5042,-0.0247,119,0.2564,-0.0022,0.0256,-0.0252,1256,False,False,True,0.0
150,vwap_reversion,ETH/USDT,4h,-2.4495,-0.378,-0.1922,0.035,0.0,0.0,-0.035,1,0.0,-0.06,-0.06,-0.06,43,False,True,False,0.0
151,donchian_bo,BTC/USDT,4h,-0.3281,-0.0908,-0.0013,0.033,0.3474,0.6525,-0.0225,95,0.0527,-0.002,0.0688,-0.0487,4381,False,False,True,0.0
152,alpha_composite,MA,1d,-0.0803,-0.0692,-0.0086,0.1563,0.4327,0.7988,-0.0419,171,0.6513,-0.0018,0.0568,-0.0996,1256,False,False,False,0.0
153,zscore_reversion,ETH/USDT,4h,-3.086,-0.892,-0.1558,0.0264,0.5,0.0657,-0.0239,2,0.1351,-0.0425,0.006,-0.0909,37,False,True,False,0.0
154,zscore_reversion,ETH/USDT,1d,-0.004,-0.0033,-0.0076,0.1816,0.6389,0.9742,-0.022,36,0.6416,-0.0008,0.1402,-0.3569,731,False,False,True,0.0
155,vwap_reversion,ETH/USDT,1d,0.0203,0.018,-0.0073,0.1738,0.6533,1.0278,-0.0211,75,0.5932,0.0006,0.2152,-0.2763,730,False,False,True,0.0
156,momentum_long,ETH/USDT,4h,-0.7655,-0.4294,-0.024,0.1014,0.2,0.0305,-0.0796,5,0.3477,-0.0575,0.009,-0.1171,860,False,True,False,0.0
157,bb_reversion,ETH/USDT,4h,-2.6458,-0.441,-0.3808,0.0662,0.0,0.0,-0.0662,1,0.0,-0.071,-0.071,-0.071,37,False,True,False,0.0
158,ema_crossover,ETH/USDT,4h,-0.2683,-0.1988,-0.004,0.0924,0.2056,0.7694,-0.0672,107,0.5081,-0.0059,0.4138,-0.1646,4381,False,False,False,0.0
159,donchian_bo,QQQ,1d,-0.1495,-0.0722,-0.0009,0.0129,0.4272,0.9319,-0.0047,103,0.2341,-0.0003,0.0428,-0.0256,1256,False,False,True,0.0
160,triple_screen,ETH/USDT,4h,-0.6899,-0.4779,-0.0321,0.1287,0.4,0.6169,-0.1185,65,0.3049,-0.0042,0.1051,-0.0539,974,False,True,False,0.0
161,atr_breakout,ETH/USDT,4h,-0.1948,-0.1691,-0.0114,0.0928,0.2449,0.8324,-0.0336,49,0.504,-0.0017,0.1944,-0.0416,750,False,True,False,0.0
162,vwap_reversion,BTC/USDT,1d,-0.0155,-0.0123,-0.0066,0.1367,0.7308,0.8523,-0.0189,26,0.5527,-0.0029,0.0641,-0.1821,731,False,False,True,0.0
163,momentum_long,CRWD,1d,-0.3044,-0.1175,-0.095,0.206,0.0,0.0,-0.0621,1,0.1902,-0.0662,-0.0662,-0.0662,163,False,True,False,0.0
164,atr_breakout,MA,1d,-0.3816,-0.2826,-0.025,0.1381,0.2556,0.7177,-0.1186,90,0.6298,-0.0035,0.1089,-0.0578,1256,False,False,False,0.0
