strategy,symbol,timeframe,valid_combos,best_sharpe,best_cagr,best_max_drawdown,best_trade_count,gate1_pass,wf_folds,overfitting_score,gate2_pass,best_params,error
keltner_breakout+stop,AAPL,1d,24,1.3238,0.1404,0.2007,15,False,14,0.5159,False,"{""atr_mult"": 2.0, ""atr_period"": 10, ""period"": 15, ""trend_period"": 100}",
keltner_breakout+stop,AAPL-MSFT,1d,24,0.6168,0.0549,0.1475,10,False,4,0.0,False,"{""atr_mult"": 1.5, ""atr_period"": 14, ""period"": 30, ""trend_period"": 100}",
keltner_breakout+stop,AMZN,1d,24,0.1719,0.0106,0.1711,23,False,14,0.4161,False,"{""atr_mult"": 2.5, ""atr_period"": 10, ""period"": 15, ""trend_period"": 200}",
keltner_breakout+stop,ASML,1d,24,0.7169,0.1007,0.1798,39,False,14,1.7317,True,"{""atr_mult"": 2.0, ""atr_period"": 10, ""period"": 30, ""trend_period"": 100}",
keltner_breakout+stop,ASML-AVGO,1d,24,0.6841,0.0479,0.1202,3,False,4,10.3714,True,"{""atr_mult"": 1.5, ""atr_period"": 10, ""period"": 15, ""trend_period"": 100}",
keltner_breakout+stop,AVGO,1d,24,0.3939,0.0375,0.1964,23,False,14,0.6947,False,"{""atr_mult"": 2.5, ""atr_period"": 10, ""period"": 15, ""trend_period"": 100}",
keltner_breakout+stop,CRWD,1d,24,1.1695,0.333,0.2052,7,False,8,0.5702,False,"{""atr_mult"": 1.5, ""atr_period"": 10, ""period"": 30, ""trend_period"": 200}",
keltner_breakout+stop,GOOG,1d,24,0.0941,0.0042,0.2064,33,False,14,1.7291,True,"{""atr_mult"": 1.5, ""atr_period"": 10, ""period"": 30, ""trend_period"": 200}",
keltner_breakout+stop,MA,1d,24,0.5585,0.0585,0.2034,24,False,14,0.2559,False,"{""atr_mult"": 1.5, ""atr_period"": 10, ""period"": 30, ""trend_period"": 100}",
keltner_breakout+stop,META,1d,24,0.4035,0.0501,0.1684,34,False,14,1.1768,True,"{""atr_mult"": 2.0, ""atr_period"": 10, ""period"": 30, ""trend_period"": 100}",
keltner_breakout+stop,MSFT,1d,24,0.6938,0.0585,0.1204,26,False,14,1.084,True,"{""atr_mult"": 2.5, ""atr_period"": 10, ""period"": 30, ""trend_period"": 200}",
keltner_breakout+stop,MSFT-GOOG,1d,24,0.0,0.0,0.0,0,False,4,,False,"{""atr_mult"": 2.5, ""atr_period"": 10, ""period"": 15, ""trend_period"": 100}",
keltner_breakout+stop,NOW,1d,24,0.3566,0.0284,0.128,17,False,14,3.3038,True,"{""atr_mult"": 2.5, ""atr_period"": 10, ""period"": 15, ""trend_period"": 100}",
keltner_breakout+stop,NVDA,1d,24,0.891,0.1453,0.1694,22,False,14,0.5105,False,"{""atr_mult"": 2.5, ""atr_period"": 14, ""period"": 15, ""trend_period"": 200}",
keltner_breakout+stop,NVDA-AVGO,1d,24,0.6333,0.1118,0.2107,6,False,4,0.415,False,"{""atr_mult"": 1.5, ""atr_period"": 14, ""period"": 30, ""trend_period"": 100}",
keltner_breakout+stop,NVO,1d,24,0.2047,0.0135,0.1765,26,False,14,0.1148,False,"{""atr_mult"": 2.5, ""atr_period"": 14, ""period"": 15, ""trend_period"": 100}",
keltner_breakout+stop,PLTR,1d,24,0.5596,0.0882,0.2072,5,False,6,1.1346,True,"{""atr_mult"": 2.0, ""atr_period"": 14, ""period"": 15, ""trend_period"": 200}",
keltner_breakout+stop,QQQ,1d,24,0.6939,0.0505,0.0813,37,False,14,0.6316,False,"{""atr_mult"": 2.0, ""atr_period"": 14, ""period"": 30, ""trend_period"": 100}",
keltner_breakout+stop,SPY,1d,24,0.6193,0.037,0.1212,47,False,14,0.4455,False,"{""atr_mult"": 1.5, ""atr_period"": 10, ""period"": 30, ""trend_period"": 100}",
keltner_breakout+stop,TSLA,1d,24,1.1468,0.2846,0.2133,15,False,14,0.4149,False,"{""atr_mult"": 1.5, ""atr_period"": 10, ""period"": 15, ""trend_period"": 100}",
keltner_breakout+stop,V,1d,24,0.2446,0.0172,0.2054,20,False,14,0.4117,False,"{""atr_mult"": 2.0, ""atr_period"": 14, ""period"": 30, ""trend_period"": 100}",
keltner_breakout+stop,V-MA,1d,24,0.0,0.0,0.0,0,False,4,,False,"{""atr_mult"": 1.5, ""atr_period"": 10, ""period"": 15, ""trend_period"": 100}",
rsi_vwap+stop,AAPL,1d,24,0.3734,0.0038,0.0068,1,False,14,0.3155,False,"{""overbought"": 60.0, ""oversold"": 25.0, ""rsi_period"": 14, ""vwap_period"": 24}",
rsi_vwap+stop,AAPL-MSFT,1d,24,0.7526,0.055,0.1043,17,False,4,0.0,False,"{""overbought"": 60.0, ""oversold"": 35.0, ""rsi_period"": 10, ""vwap_period"": 24}",
rsi_vwap+stop,AMZN,1d,24,0.3883,0.0297,0.1027,8,False,14,0.6002,False,"{""overbought"": 60.0, ""oversold"": 25.0, ""rsi_period"": 10, ""vwap_period"": 24}",
rsi_vwap+stop,ASML,1d,24,0.595,0.0535,0.1591,23,False,14,0.4889,False,"{""overbought"": 60.0, ""oversold"": 35.0, ""rsi_period"": 10, ""vwap_period"": 12}",
rsi_vwap+stop,ASML-AVGO,1d,24,0.5835,0.0599,0.1908,22,False,4,0.5865,False,"{""overbought"": 60.0, ""oversold"": 35.0, ""rsi_period"": 14, ""vwap_period"": 12}",
rsi_vwap+stop,AVGO,1d,24,0.9954,0.0354,0.0247,3,False,14,0.7136,True,"{""overbought"": 60.0, ""oversold"": 25.0, ""rsi_period"": 10, ""vwap_period"": 24}",
rsi_vwap+stop,CRWD,1d,24,0.3784,0.0333,0.1369,2,False,8,1.0967,True,"{""overbought"": 60.0, ""oversold"": 25.0, ""rsi_period"": 14, ""vwap_period"": 24}",
rsi_vwap+stop,GOOG,1d,24,0.8196,0.0314,0.0226,4,False,14,0.3067,False,"{""overbought"": 60.0, ""oversold"": 30.0, ""rsi_period"": 14, ""vwap_period"": 24}",
rsi_vwap+stop,MA,1d,24,0.7062,0.0154,0.0125,3,False,14,0.3052,False,"{""overbought"": 60.0, ""oversold"": 30.0, ""rsi_period"": 14, ""vwap_period"": 12}",
rsi_vwap+stop,META,1d,24,0.3949,0.023,0.1466,5,False,14,0.4014,False,"{""overbought"": 60.0, ""oversold"": 25.0, ""rsi_period"": 10, ""vwap_period"": 24}",
rsi_vwap+stop,MSFT,1d,24,0.485,0.0207,0.0839,10,False,14,0.4126,False,"{""overbought"": 60.0, ""oversold"": 30.0, ""rsi_period"": 10, ""vwap_period"": 24}",
rsi_vwap+stop,MSFT-GOOG,1d,24,0.2233,0.0158,0.1072,20,False,4,0.1713,False,"{""overbought"": 60.0, ""oversold"": 35.0, ""rsi_period"": 10, ""vwap_period"": 12}",
rsi_vwap+stop,NOW,1d,24,0.3474,0.0237,0.1273,13,False,14,0.378,False,"{""overbought"": 60.0, ""oversold"": 35.0, ""rsi_period"": 14, ""vwap_period"": 24}",
rsi_vwap+stop,NVDA,1d,24,0.5461,0.0138,0.0157,1,False,14,0.1525,False,"{""overbought"": 60.0, ""oversold"": 25.0, ""rsi_period"": 10, ""vwap_period"": 12}",
rsi_vwap+stop,NVDA-AVGO,1d,24,0.5952,0.059,0.1632,6,False,4,0.5443,False,"{""overbought"": 60.0, ""oversold"": 30.0, ""rsi_period"": 14, ""vwap_period"": 24}",
rsi_vwap+stop,NVO,1d,24,0.4958,0.0378,0.1379,37,False,14,2.4819,True,"{""overbought"": 60.0, ""oversold"": 35.0, ""rsi_period"": 10, ""vwap_period"": 12}",
rsi_vwap+stop,PLTR,1d,24,0.2203,0.0231,0.1844,7,False,6,1.2941,True,"{""overbought"": 60.0, ""oversold"": 30.0, ""rsi_period"": 10, ""vwap_period"": 24}",
rsi_vwap+stop,QQQ,1d,24,0.3631,0.0186,0.051,9,False,14,1.0425,True,"{""overbought"": 60.0, ""oversold"": 35.0, ""rsi_period"": 14, ""vwap_period"": 12}",
rsi_vwap+stop,SPY,1d,24,0.473,0.0038,0.0059,1,False,14,3.6349,True,"{""overbought"": 60.0, ""oversold"": 25.0, ""rsi_period"": 10, ""vwap_period"": 24}",
rsi_vwap+stop,TSLA,1d,24,0.5968,0.0815,0.2196,13,False,14,0.6676,False,"{""overbought"": 60.0, ""oversold"": 30.0, ""rsi_period"": 10, ""vwap_period"": 24}",
rsi_vwap+stop,V,1d,24,0.8335,0.038,0.0506,18,False,14,0.5991,False,"{""overbought"": 60.0, ""oversold"": 35.0, ""rsi_period"": 14, ""vwap_period"": 12}",
rsi_vwap+stop,V-MA,1d,24,0.3008,0.0079,0.0288,4,False,4,0.2603,False,"{""overbought"": 60.0, ""oversold"": 25.0, ""rsi_period"": 10, ""vwap_period"": 24}",
