strategy,base_strategy,regime_filtered,symbol,timeframe,sharpe,cagr,max_drawdown,win_rate,profit_factor,trade_count,total_return,gate1_pass,halted
momentum_long+regime,momentum_long,True,CRWD,1d,0.9617,0.1951,0.2187,0.75,116.46,4,0.795,False,True
alpha_composite,alpha_composite,False,CRWD,1d,-0.4306,-0.0818,0.2067,0.4615,0.73,39,-0.146,False,True
alpha_composite+regime,alpha_composite,True,CRWD,1d,0.3984,0.0464,0.1565,0.4194,1.81,62,0.2534,False,False
alpha_trend_v2,alpha_trend_v2,False,CRWD,1d,-0.4752,-0.0906,0.2018,0.5,0.78,30,-0.1256,False,True
alpha_trend_v2+regime,alpha_trend_v2,True,CRWD,1d,0.3843,0.0399,0.1242,0.4118,1.55,68,0.2153,False,False
alpha_momentum_v2,alpha_momentum_v2,False,CRWD,1d,0.3915,0.0775,0.2283,0.6364,1.45,11,0.0507,False,True
alpha_momentum_v2+regime,alpha_momentum_v2,True,CRWD,1d,0.8917,0.1989,0.2151,0.4667,2.87,30,0.8136,False,True
ema_crossover,ema_crossover,False,ETH/USDT,1d,0.2748,0.0137,0.0583,0.2143,1.43,14,0.0401,False,False
ema_crossover+regime,ema_crossover,True,ETH/USDT,1d,-0.0102,-0.008,0.1432,0.2143,1.04,14,-0.0231,False,False
donchian_bo,donchian_bo,False,ETH/USDT,1d,0.8778,0.0696,0.0422,0.2917,1.9,24,0.215,False,False
donchian_bo+regime,donchian_bo,True,ETH/USDT,1d,0.615,0.0257,0.0422,0.2609,1.42,23,0.0761,False,False
macd_momentum,macd_momentum,False,ETH/USDT,1d,0.2998,0.0247,0.1621,0.2759,0.96,29,0.0732,False,False
macd_momentum+regime,macd_momentum,True,ETH/USDT,1d,-0.0864,-0.0146,0.1843,0.2857,0.68,28,-0.0417,False,False
triple_screen,triple_screen,False,ETH/USDT,1d,0.1322,0.0089,0.1526,0.6667,1.16,30,0.0261,False,False
triple_screen+regime,triple_screen,True,ETH/USDT,1d,-0.0762,-0.0149,0.1213,0.6429,0.96,28,-0.0425,False,False
atr_breakout,atr_breakout,False,ETH/USDT,1d,0.4111,0.0524,0.1717,0.3243,1.49,37,0.1594,False,False
atr_breakout+regime,atr_breakout,True,ETH/USDT,1d,-0.0419,-0.0205,0.2019,0.2222,0.99,18,-0.0345,False,True
momentum_long,momentum_long,False,ETH/USDT,1d,-0.2642,-0.0349,0.1767,0.25,0.21,4,-0.0977,False,False
momentum_long+regime,momentum_long,True,ETH/USDT,1d,-0.2642,-0.0349,0.1767,0.25,0.21,4,-0.0977,False,False
